phase,n_years,years
El Niño,4,2002;2004;2015;2023
Neutral,14,2000;2001;2003;2005;2006;2008;2009;2011;2012;2013;2014;2017;2018;2019
La Niña,8,2007;2010;2016;2020;2021;2022;2024;2025
